Station Name,Date/Time,Max Temp (째C),Min Temp (째C),Mean Temp (째C),Heat Deg Days (째C),Total Precip (mm)
TORONTO CITY,01-01-2019,6.3,-6.6,-0.1,18.1,0.4
TORONTO CITY,02-01-2019,0.6,-8.2,-3.8,21.8,2.9
TORONTO CITY,03-01-2019,1.5,-0.6,0.5,17.5,0
TORONTO CITY,04-01-2019,7.8,1.2,4.5,13.5,0
TORONTO CITY,05-01-2019,3.9,1,2.5,15.5,0
TORONTO CITY,06-01-2019,4.8,-6.8,-1,19,0
TORONTO CITY,07-01-2019,5.7,-7.6,-0.9,18.9,2.4
TORONTO CITY,08-01-2019,8.7,3.3,6,12,3
TORONTO CITY,09-01-2019,3.4,-3.5,-0.1,18.1,0.9
TORONTO CITY,10-01-2019,-3.5,-10.3,-6.9,24.9,0
TORONTO CITY,11-01-2019,-6.5,-12.2,-9.3,27.3,0
TORONTO CITY,12-01-2019,-4.1,-7.4,-5.7,23.7,0
TORONTO CITY,13-01-2019,-5.7,-10.3,-8,26,0
TORONTO CITY,14-01-2019,-1.1,-6.9,-4,22,0
TORONTO CITY,15-01-2019,0.9,-3.1,-1.1,19.1,0
TORONTO CITY,16-01-2019,0.2,-9.7,-4.8,22.8,0.8
TORONTO CITY,17-01-2019,-2,-11.4,-6.7,24.7,0.2
TORONTO CITY,18-01-2019,0.8,-8.7,-3.9,21.9,1
TORONTO CITY,19-01-2019,-8.5,-15.5,-12,30,8.1
TORONTO CITY,20-01-2019,-14.2,-21.5,-17.9,35.9,2.6
TORONTO CITY,21-01-2019,-11,-21.5,-16.2,34.2,0
TORONTO CITY,22-01-2019,1,-14.7,-6.9,24.9,0
TORONTO CITY,23-01-2019,5.7,-0.2,2.7,15.3,11
TORONTO CITY,24-01-2019,4.2,-2.4,0.9,17.1,4.1
TORONTO CITY,25-01-2019,-2.3,-10.4,-6.3,24.3,0.4
TORONTO CITY,26-01-2019,-4.4,-12.3,-8.3,26.3,0.2
TORONTO CITY,27-01-2019,-2.5,-13.1,-7.8,25.8,7.1
TORONTO CITY,28-01-2019,-2.8,-18.2,-10.5,28.5,13
TORONTO CITY,29-01-2019,0.9,-14.1,-6.6,24.6,3.1
TORONTO CITY,30-01-2019,-13.9,-21.1,-17.5,35.5,0.2
TORONTO CITY,31-01-2019,-12.6,-21.2,-16.9,34.9,0
TORONTO CITY,01-02-2019,-8.7,-17.7,-13.2,31.2,0
TORONTO CITY,02-02-2019,1.3,-13.5,-6.1,24.1,0
TORONTO CITY,03-02-2019,8.1,0.4,4.3,13.7,0
TORONTO CITY,04-02-2019,11.7,5.5,8.6,9.4,2.1
TORONTO CITY,05-02-2019,9.6,-5.6,2,16,0.2
TORONTO CITY,06-02-2019,-0.4,-5.3,-2.9,20.9,11
TORONTO CITY,07-02-2019,6.2,-2.2,2,16,1
TORONTO CITY,08-02-2019,5.9,-8.7,-1.4,19.4,0.2
TORONTO CITY,09-02-2019,-3,-8.8,-5.9,23.9,0
TORONTO CITY,10-02-2019,-2.5,-7.8,-5.1,23.1,0.3
TORONTO CITY,11-02-2019,-2.9,-5.1,-4,22,0.7
TORONTO CITY,12-02-2019,1.6,-6,-2.2,20.2,20.9
TORONTO CITY,13-02-2019,1.6,-4.4,-1.4,19.4,3.2
TORONTO CITY,14-02-2019,2.2,-3.9,-0.9,18.9,1.9
TORONTO CITY,15-02-2019,4.3,-3.2,0.5,17.5,1.3
TORONTO CITY,16-02-2019,-2.2,-7.9,-5,23,0.2
TORONTO CITY,17-02-2019,-5.4,-9.7,-7.6,25.6,0.6
TORONTO CITY,18-02-2019,-4.4,-11.5,-8,26,2.3
TORONTO CITY,19-02-2019,-2.4,-12.5,-7.4,25.4,0
TORONTO CITY,20-02-2019,0.9,-6.7,-2.9,20.9,2.5
TORONTO CITY,21-02-2019,4.4,-1,1.7,16.3,0.2
TORONTO CITY,22-02-2019,3.4,-2.1,0.6,17.4,0
TORONTO CITY,23-02-2019,2.6,-2.2,0.2,17.8,0
TORONTO CITY,24-02-2019,6.9,-2,2.5,15.5,10
TORONTO CITY,25-02-2019,-1.9,-6.7,-4.3,22.3,0.4
TORONTO CITY,26-02-2019,-4.2,-9.9,-7,25,0.2
TORONTO CITY,27-02-2019,-7,-11.9,-9.4,27.4,8.6
TORONTO CITY,28-02-2019,-5.9,-14.4,-10.1,28.1,0.2
TORONTO CITY,01-03-2019,0.1,-7.3,-3.6,21.6,0
TORONTO CITY,02-03-2019,-0.2,-3.9,-2.1,20.1,2.9
TORONTO CITY,03-03-2019,-0.7,-7.7,-4.2,22.2,0.4
TORONTO CITY,04-03-2019,-6.2,-11.8,-9,27,0.2
TORONTO CITY,05-03-2019,-7.4,-13,-10.2,28.2,0.2
TORONTO CITY,06-03-2019,-7.3,-12.2,-9.8,27.8,0
TORONTO CITY,07-03-2019,-4.3,-11.1,-7.7,25.7,0
TORONTO CITY,08-03-2019,-1.3,-11.3,-6.3,24.3,0
TORONTO CITY,09-03-2019,1.6,-6.1,-2.2,20.2,0.9
TORONTO CITY,10-03-2019,6.1,1.2,3.6,14.4,14.4
TORONTO CITY,11-03-2019,3.2,-1.2,1,17,0
TORONTO CITY,12-03-2019,3.9,-2,1,17,0.2
TORONTO CITY,13-03-2019,3.4,-0.7,1.3,16.7,0
TORONTO CITY,14-03-2019,10.9,2.5,6.7,11.3,6.5
TORONTO CITY,15-03-2019,10.4,1.2,5.8,12.2,0.8
TORONTO CITY,16-03-2019,2.8,-3.4,-0.3,18.3,0.4
TORONTO CITY,17-03-2019,3.3,-5.3,-1,19,0.2
TORONTO CITY,18-03-2019,4.7,-1.8,1.5,16.5,0
TORONTO CITY,19-03-2019,5.6,-2.4,1.6,16.4,0.4
TORONTO CITY,20-03-2019,9.8,1,5.4,12.6,0
TORONTO CITY,21-03-2019,8,3.1,5.6,12.4,0
TORONTO CITY,22-03-2019,4.6,-3.4,0.6,17.4,0.2
TORONTO CITY,23-03-2019,5.8,-5.9,-0.1,18.1,0.2
TORONTO CITY,24-03-2019,9.8,0.4,5.1,12.9,0
TORONTO CITY,25-03-2019,2.6,-2.8,-0.1,18.1,0
TORONTO CITY,26-03-2019,3.4,-3,0.2,17.8,0
TORONTO CITY,27-03-2019,7.8,0.3,4,14,0
TORONTO CITY,28-03-2019,11.6,1.4,6.5,11.5,0.2
TORONTO CITY,29-03-2019,11.5,4.9,8.2,9.8,0
TORONTO CITY,30-03-2019,6.2,0.7,3.4,14.6,31.6
TORONTO CITY,31-03-2019,2.1,-3.1,-0.5,18.5,7.5
TORONTO CITY,01-04-2019,3.7,-4.4,-0.4,18.4,0.3
TORONTO CITY,02-04-2019,8.8,0.8,4.8,13.2,0
TORONTO CITY,03-04-2019,7.9,2,5,13,0
TORONTO CITY,04-04-2019,6.2,-0.8,2.7,15.3,0
TORONTO CITY,05-04-2019,4.2,0.9,2.6,15.4,0
TORONTO CITY,06-04-2019,13.6,3.8,8.7,9.3,0
TORONTO CITY,07-04-2019,11.1,6.7,8.9,9.1,3.3
TORONTO CITY,08-04-2019,16.4,5.7,11,7,1
TORONTO CITY,09-04-2019,11.9,4,7.9,10.1,0
TORONTO CITY,10-04-2019,7.1,1.6,4.4,13.6,0
TORONTO CITY,11-04-2019,4.4,-0.2,2.1,15.9,0.8
TORONTO CITY,12-04-2019,14.9,4.4,9.6,8.4,1.4
TORONTO CITY,13-04-2019,17.1,4.9,11,7,0
TORONTO CITY,14-04-2019,5.1,2.6,3.9,14.1,24
TORONTO CITY,15-04-2019,,,,,
TORONTO CITY,16-04-2019,7.3,1.3,4.3,13.7,0
TORONTO CITY,17-04-2019,13.4,2.7,8.1,9.9,0
TORONTO CITY,18-04-2019,19.9,6.8,13.3,4.7,0.3
TORONTO CITY,19-04-2019,15.1,5.6,10.4,7.6,18.8
TORONTO CITY,20-04-2019,9.3,5.4,7.4,10.6,9.1
TORONTO CITY,21-04-2019,11.4,6.8,9.1,8.9,0
TORONTO CITY,22-04-2019,15.9,7,11.4,6.6,0
TORONTO CITY,23-04-2019,14.8,6.8,10.8,7.2,3.1
TORONTO CITY,24-04-2019,13.4,4.9,9.1,8.9,0
TORONTO CITY,25-04-2019,12.2,4.8,8.5,9.5,0
TORONTO CITY,26-04-2019,12.9,4.1,8.5,9.5,19.4
TORONTO CITY,27-04-2019,8.5,1.8,5.1,12.9,0
TORONTO CITY,28-04-2019,10.8,3.3,7.1,10.9,0
TORONTO CITY,29-04-2019,6.6,2.3,4.4,13.6,0.5
TORONTO CITY,30-04-2019,10.1,4.7,7.4,10.6,0.3
TORONTO CITY,01-05-2019,9,5.2,7.1,10.9,15.4
TORONTO CITY,02-05-2019,8.8,4.4,6.6,11.4,2.4
TORONTO CITY,03-05-2019,11.7,5.8,8.7,9.3,11.1
TORONTO CITY,04-05-2019,12.7,8,10.3,7.7,0.4
TORONTO CITY,05-05-2019,16.5,7.5,12,6,0
